Date,Start Time,End Time,Total Bets,Value
2024-07-31,03:39:30.204316,03:40:00.692676,,6.95
2024-07-31,03:40:07.486147,03:40:12.924211,3319,1.09
2024-07-31,03:40:20.024428,03:40:38.681079,3315,3.04
2024-07-31,03:40:45.462298,03:40:58.119344,,1.80
2024-07-31,03:41:05.451343,03:41:17.651681,3405,1.80
2024-07-31,03:41:24.812137,03:41:45.641125,3151,3.92
2024-07-31,03:41:52.536822,03:42:09.075109,3295,2.48
2024-07-31,03:42:16.589969,03:42:37.654922,3153,3.87
2024-07-31,03:42:45.071721,03:42:56.617170,3303,1.71
2024-07-31,03:43:03.412516,03:43:17.076107,2903,2.15
2024-07-31,03:43:23.784296,03:44:15.516166,3135,45.53
2024-07-31,03:44:22.634222,03:45:07.466711,3373,28.61
2024-07-31,03:45:14.856514,03:45:35.681998,3433,4.00
2024-07-31,03:45:42.511345,03:45:57.014813,3373,2.07
2024-07-31,03:46:05.210365,03:46:21.730419,3197,2.81
2024-07-31,03:46:28.534331,03:46:36.128812,3433,1.17
2024-07-31,03:46:42.837128,03:46:58.704039,2930,2.46
2024-07-31,03:47:05.602689,03:47:13.194483,3514,1.26
2024-07-31,03:47:20.104590,03:47:30.054758,3402,1.50
2024-07-31,03:47:36.495500,03:48:17.845701,3033,17.11
2024-07-31,03:48:22.372730,03:48:31.987066,,1.29
2024-07-31,03:48:38.330488,03:48:50.506327,3340,1.50
2024-07-31,03:48:57.244836,03:49:06.627276,,1.36
2024-07-31,03:49:13.301028,03:49:18.772813,3039,1.00
2024-07-31,03:49:25.843687,03:49:57.788510,2374,10.02
2024-07-31,03:50:04.710733,03:50:14.617001,3513,1.48
2024-07-31,03:50:21.676002,03:50:34.278919,3039,1.84
2024-07-31,03:50:41.788587,03:50:54.030851,3113,1.72
2024-07-31,03:50:58.296890,03:51:10.640295,3035,115
2024-07-31,03:51:17.057704,03:51:37.280481,3039,3.18
2024-07-31,03:51:43.673701,03:51:51.284071,3209,1.17
2024-07-31,03:51:58.175968,03:52:08.188689,2757,1.36
2024-07-31,03:52:15.423751,03:52:25.148041,2473,1.55
2024-07-31,03:52:31.744479,03:52:39.143234,247,1.18
2024-07-31,03:52:46.161192,03:52:53.743337,2397,1.20
2024-07-31,03:52:58.171674,03:53:24.925642,2145,5.43
2024-07-31,03:53:32.059421,03:53:49.807336,2550,2.78
2024-07-31,03:53:56.859183,03:54:17.838143,2531,4.14
2024-07-31,03:54:25.238894,03:54:37.115389,2755,1.68
2024-07-31,03:54:43.946836,03:54:51.224005,2534,1.28
2024-07-31,03:54:58.065525,03:55:33.441426,2259,11.33
2024-07-31,03:55:37.883590,03:55:52.162263,2910,1.94
2024-07-31,03:55:59.423209,03:56:04.935966,2531,1.00
2024-07-31,03:56:12.002415,03:56:17.444468,2543,1.13
2024-07-31,03:56:24.078690,03:57:07.033763,2254,23.05
2024-07-31,03:57:14.008191,03:57:41.616997,2745,5.98
2024-07-31,03:57:46.000532,03:57:53.745502,2911,1.13
2024-07-31,03:58:00.177540,03:58:30.614481,2457,7.43
2024-07-31,03:58:37.430755,03:58:47.014271,2986,1.41
2024-07-31,03:58:53.789213,03:59:31.458345,2953,14.99
2024-07-31,03:59:38.207888,03:59:51.966058,2953,2.14
2024-07-31,03:59:58.186452,04:00:26.866900,3019,6.90
